,Dummy,EST_CV,EST_NCV,SARIMA_CV
math.HO,2.282625377969953,2.218399328290167,2.198918710522771,2.2784655779152745
math.IT,0.8100398848831573,0.7082740091799321,0.8043296430747439,0.7414441211425854
math.KT,1.3972474990709847,1.3453427136956457,1.3756750569746066,1.3726223519159044
math.LO,1.1837830860999061,0.9914393016091606,1.071138687571784,0.9745035065438588
math.MG,1.1976524188348878,1.0993480713898776,1.1325389268758732,1.0991109855370969
math.MP,0.48785965556423744,0.43482816244865735,0.4490353380709197,0.4535672448829674
math.NA,1.050969877352126,0.7728199382344956,0.813317080943056,0.7772230289445243
math.NT,0.689001599994499,0.6104087773700116,0.6224132727250739,0.6035140328709877
math.OA,0.7947184895787148,0.7672594074002294,0.8206365057509479,0.7746438079639243
math.OC,0.9760215624894069,0.717489810712873,0.7175063638922959,0.7224079047609999
math.PR,0.653938241944008,0.5293489972869366,0.5406125098579043,0.5469241765951551
math.QA,0.8467575249441762,0.8157558865379788,0.8546478430679516,0.8254862533727302
math.RA,0.9809262990708061,0.8434825469045043,0.8764145842774318,0.8471037237709795
math.RT,0.7277777303748003,0.6324204992874058,0.63434415867075,0.6585578049371941
math.SG,1.1514237366468205,1.1053900058842392,1.0997486804957894,1.0973051265634515
math.SP,1.3106065569809522,1.2196472609902131,1.2527682997724507,1.2182071936940893
math.ST,0.9091672286276122,0.9009514012230375,0.9199344236219706,0.8702682756939439
nlin.AO,1.1388248745642853,1.1484911020351185,1.2060283808489767,1.1532711079679312
nlin.CD,0.7506619605916846,0.7554029047402985,0.7865085256038209,0.770739780469919
nlin.CG,2.133588814193609,2.091846682049636,2.1414969812268656,2.0923252816420566
nlin.PS,0.9535755393963906,0.9702149918404109,0.9714507417837595,0.958287841551331
nlin.SI,1.0795416847010448,1.1085659753546133,1.117053312184816,1.0987629862152752
nucl-ex,0.6173567228350254,0.5950916739369624,0.5915956850346469,0.593452443805401
nucl-th,0.5262672662648147,0.46582583913114356,0.4766580660980184,0.46115037829215844
physics.acc-ph,1.2526509355533444,1.1758631878052412,1.207525577396633,1.174511482850145
physics.ao-ph,1.8892312735858,1.7445019893645135,1.7595572712731617,1.7898479854600453
physics.app-ph,1.3135735038344998,1.2171545080250255,1.3622986207582564,1.2529817345040646
physics.atm-clus,1.4529350425348564,1.5001122653931103,1.5324413095328684,1.5223004846918964
physics.atom-ph,0.8835003954855914,0.8346636885691682,0.9046559651867784,0.8240271888457728
physics.bio-ph,0.9523652394599333,0.9099900419583964,0.9295564610731033,0.9226834137949387
physics.chem-ph,1.1058156012855418,0.8867433748691024,0.8920439780009359,0.9111286487420659
physics.class-ph,0.9230927860113479,0.9353852494817997,0.9741894313802923,0.9454166942036465
physics.comp-ph,1.2255868765118314,1.286874386738742,1.2593284236625073,1.1593346845895518
physics.data-an,0.9271702281355237,0.9279644909563366,0.998536001748137,0.927962876220978
physics.ed-ph,2.043955259566073,2.052562294785675,2.0485601807024256,2.0525585410326035
physics.flu-dyn,0.9060860570042978,0.8667947042230907,0.9661725963773545,0.8255010113622809
physics.gen-ph,0.74005771967676,0.7279003232310393,0.7536119663153487,0.7337598226853819
physics.geo-ph,1.5672005483020623,1.4789894952499094,1.521963316175959,1.4786498357772142
