,Dummy,Weekday_Linear,EST_NCV,EST_CV,SARIMA_CV,Prophet,Prophet_Full
cs.MA,2.795702305460682,2.6104310739681393,2.273975443057797,2.273848591316276,2.432317577882681,2.5340293185795395,2.7851932625707105
cs.MM,2.735209550624831,2.6283850716245327,2.347810677831196,2.408632806745902,2.5794959543821423,2.718069653560683,2.6919238337632843
cs.MS,2.1064037684876524,2.1805568936046416,2.181295615384146,2.1805592864977057,2.177344457830737,2.1013663834128633,2.1380725438005603
cs.NA,1.5720124280229733,1.1701653291262877,1.221644209701284,1.1625282967029245,1.1694365168786565,1.5907271027739094,1.5685124203042642
cs.NE,1.2384277444227767,0.9897759690711793,1.0789850346222851,1.0552030579620892,1.0400034235434295,1.2431810790687663,1.235486719239986
cs.NI,1.138957797568763,0.8885277856611492,0.9074366192018856,0.8986989435661594,0.8901609248969583,1.145657976375397,1.1411393320767667
cs.OH,1.1396797220396413,1.1054717022975833,1.1383004956216998,1.1054792161829055,1.106419726142424,1.1474597196297485,1.1374442324716323
cs.OS,5.314920259875587,5.4423921241029385,5.624363381311632,5.4332059604371565,5.517718178066517,5.330356185078752,5.5609977422616454
cs.PF,2.074613847173429,2.0689888349726124,2.08998937905724,2.0106989519163747,2.0592714902104294,2.0093850743505666,2.1345855400125053
cs.PL,1.974242886447989,1.9689737822181639,2.18562181713926,2.1318661691966407,1.9564702090662676,2.0232596302991634,1.955543386645947
cs.RO,2.6511360529186807,2.3934918575524513,2.3326838712106044,2.4212138807391788,2.458541639442847,3.1970347606149216,2.5973130455467635
cs.SC,2.649834409018551,2.654849805988175,2.7399936513587577,2.65110415877845,2.683381857608015,2.7348530953225016,2.622005749150797
cs.SD,1.7660197621070925,1.5438827960991202,1.15225606505514,1.2793671396504174,1.3420347117220612,1.3688236006377728,1.695812979505426
cs.SE,2.0676733929236644,1.9779064742988048,1.9924214219314713,1.803364536833926,1.9427125853253089,2.0828221471352393,2.118793460239991
cs.SI,1.1845534286711106,1.0471174749245005,1.0766169558093648,1.0580534518866156,1.0536490631464728,1.1662504823346245,1.1883024327243168
cs.SY,1.366851899056177,1.1261984607348494,1.0741682285072305,1.1289813646254243,1.1864450228178645,1.5308878864861946,1.3721416106559914
econ.EM,2.67038459221285,2.336301905887375,2.358140360861525,2.3494380103324772,2.331452075978892,2.701918319852357,2.67213349845601
econ.GN,2.793269511004923,2.7363500577014666,2.715851245845381,2.6665769127432863,2.724002598665428,2.6816183253831203,2.7617957467963263
econ.TH,4.456403507402731,4.242914536293294,4.198145318851913,4.204500857764346,4.180526203155519,4.342284746406232,4.4221105249883985
eess.AS,2.2154351532917187,1.9350291811227387,1.3323401311996965,1.4581655092369148,1.4618427207161588,1.7354267419282619,2.139126015704988
eess.IV,1.7272935242890983,1.5197023712694886,1.6574267676474475,1.609274597877064,1.583253265449362,1.7549660076569977,1.673516426772961
eess.SP,1.7324086665939884,1.2872505743763176,1.4246340029739173,1.269720441320863,1.3082522581085492,1.7416069039668423,1.7618320747625695
eess.SY,1.7533464043314808,1.4420099689037071,1.3770820641181374,1.447283899510332,1.5258812542810476,1.9717431806417594,1.7587642280718225
gr-qc,0.47151487578934703,0.4310141709927305,0.4434389783588874,0.43287874158186757,0.4541866935640055,0.4880792292359614,0.4796905744905497
hep-ex,0.6199414515466897,0.5786802459382384,0.6515456582999704,0.7681297446885043,0.61913362238814,0.6399049354774551,0.6156473571516614
hep-lat,1.22746284429772,1.1735894812378693,1.1768852136641517,1.1582340773316504,1.128083177497632,1.2214609577334294,1.214464111825023
hep-ph,0.4123398775226686,0.3616077474805404,0.3987608061248499,0.4287750546508803,0.3863205809324086,0.439505579708092,0.4117189473442392
hep-th,0.4289985274856317,0.40416697827122644,0.39122360015935115,0.38811574761031054,0.4106493158295429,0.4605733484774318,0.42816133014083196
math-ph,0.486349929721433,0.4453187810760604,0.4463121311929847,0.43278978675196556,0.45206833024709386,0.4957515931650178,0.47785430368884235
math.AC,0.8026119060930127,0.7599562968327592,0.7852925065323106,0.763666485460834,0.7664508195250378,0.8121575832198124,0.7840007614727708
math.AG,0.5845548813030496,0.4868823220158991,0.4738656331243893,0.4845417226856879,0.4808187723723786,0.5951758704466611,0.5851703657548354
math.AP,0.6829446883719381,0.5232485136038868,0.5646889204629745,0.5880746795655544,0.5270026184506121,0.6934982716004625,0.684970080488109
math.AT,0.7803559775676489,0.7501885047834346,0.731092969340218,0.7241337432140464,0.7506860222740493,0.7915793757959637,0.7974417634538109
math.CA,0.9190704026308082,0.8415317087474372,0.9487165261693621,0.8494022049211651,0.8616920310103464,0.9501375708618235,0.9398970620034443
math.CO,0.6297249043806412,0.4658073678644489,0.48811245788938057,0.46188753309438646,0.46933789273434406,0.6428199021072486,0.628068193231849
math.CT,1.4974675876221757,1.3881738104203252,1.4125042883756491,1.3881761231260454,1.3718939931485399,1.5106252105635307,1.4946624902847125
math.CV,0.8564071596821411,0.8219721904418642,0.8526124110480233,0.8304543992440772,0.8256298374066867,0.8571917972431716,0.8388664872023461
math.DG,0.6219001212221515,0.5357041042688699,0.5438033889186878,0.5329365950678832,0.5359037526662979,0.623695899080261,0.6220024153539635
math.DS,0.6211350476018385,0.5631883636312591,0.5550537764918652,0.5440960808308265,0.5745009197910942,0.6481296930965585,0.6183432060716921
math.FA,0.7795152139070499,0.6912815402123179,0.716887277983321,0.6912814863193499,0.6912817043422146,0.7855738728868075,0.777657985314733
math.GM,1.6306226637176058,1.627945348433638,1.7016715969377187,1.624660623473028,1.6993401124339396,1.6536281744078603,1.6374161968256298
math.GN,1.7749808699783114,1.7738168079696206,1.8577233672429805,1.8519020878472288,1.831272001364541,1.9009002843748648,1.7640205901846862
math.GR,0.894180614291038,0.7963261159215891,0.7680051842787672,0.8738784018977673,0.8393534650676409,0.9222573110589235,0.8911763910926623
math.GT,0.6299857144403911,0.607219509428474,0.6285285622402712,0.6085093051243036,0.6334687044601781,0.6540092905336229,0.6295271597849075
math.HO,2.282625377969953,2.2935394413711094,2.198918710522771,2.218399328290167,2.2784655779152745,2.215537545099115,2.2018765503783753
math.IT,0.8137118079905139,0.688094444634623,0.7981788504032334,0.7071622451969773,0.7393365576798998,0.8509690600281589,0.8127807873629309
math.KT,1.3972474990709847,1.3466186873206296,1.3756750569746066,1.3453427136956457,1.3726223519159044,1.4171238577690453,1.3700732989632112
math.LO,1.1837830860999061,0.9914388250506814,1.071138687571784,0.9914393016091606,0.9745035065438588,1.1970489617651452,1.1854528823912989
math.MG,1.1976524188348878,1.0993479785295523,1.1325389268758732,1.0993480713898776,1.0991109855370969,1.2097023652502852,1.2021898799439095
math.MP,0.486349929721433,0.4453187810760604,0.4463121311929847,0.43278978675196556,0.45206833024709386,0.4957515931650178,0.47785430368884235
math.NA,1.0536354994280808,0.784298971807736,0.8188025005825367,0.779180279151051,0.783810488101861,1.0661789407688311,1.0521195410359214
math.NT,0.6889700118045121,0.6023216117162714,0.6223847373650553,0.6103807923719661,0.6034863639716264,0.703951345664847,0.6836237372681203
math.OA,0.8071412089165122,0.7787552736565369,0.8332768975346565,0.7787541261672797,0.7861383838582624,0.8284802479115886,0.8122972000774968
math.OC,0.9760031114787355,0.7056190338783873,0.7174927999321482,0.7174762470656517,0.7223942481406218,0.9563481769382408,0.960644041464113
math.PR,0.6537074014982183,0.5569222189929228,0.5407530222942665,0.5288375959297779,0.5462857061688323,0.6360326410646355,0.6716507735816862
math.QA,0.8467575249441762,0.8157567911533008,0.8546478430679516,0.8157558865379788,0.8254862533727302,0.85932824992216,0.8482122985563928
math.RA,0.9808713944307595,0.8434351162235232,0.8763655293919355,0.8434353352988341,0.8470563094799367,0.993502269545383,0.9795960678593993
math.RT,0.7275039427344278,0.6336561787797715,0.6350965253857705,0.6327783868273267,0.6582524902930166,0.7287142660360141,0.733593998018288
math.SG,1.1514237366468205,1.096318215333016,1.0997486804957894,1.1053900058842392,1.0973051265634515,1.179734034687302,1.1497644043150603
math.SP,1.310474678679787,1.2195230553462082,1.252642241380443,1.2195245353652393,1.218084612974257,1.3131293848404915,1.3141002295964697
math.ST,0.9091672286276122,0.85899523935402,0.9199344236219706,0.9009514012230375,0.8702682756939439,0.9075283151117478,0.9089530921848462
nlin.AO,1.1388248745642853,1.1533711000603284,1.2060283808489767,1.1484911020351185,1.1532711079679312,1.140541885183627,1.1492949268173567
nlin.CD,0.7492388100919904,0.7553611623363093,0.7864750775383216,0.7553598414927776,0.7707344177021095,0.7603635611517172,0.7431021023114596
nlin.CG,2.1375420582842257,2.1147145826286873,2.161463068878865,2.0942149134816708,2.111020028240379,2.131487588738391,2.1025267728144943
nlin.PS,0.9535755393963906,0.9702171143277581,0.9714507417837595,0.9702149918404109,0.958287841551331,0.960531842961934,0.9556415892316061
nlin.SI,1.0717266644073824,1.06711257877807,1.1089077225486856,1.0928910656856676,1.0927563553462902,1.101252728663785,1.0718636920920095
nucl-ex,0.6173567228350254,0.5833255985107626,0.5915956850346469,0.5950916739369624,0.593452443805401,0.6246024598224834,0.6167564854870088
nucl-th,0.5262672662648147,0.45537276942028587,0.4766580660980184,0.46582583913114356,0.46115037829215844,0.542677311083368,0.5249636290783394
physics.acc-ph,1.2526509355533444,1.1758639511844697,1.207525577396633,1.1758631878052412,1.174511482850145,1.27557597082425,1.2529337068491475
physics.ao-ph,1.8889636391795688,1.818243651477228,1.759308006891341,1.7442548577609769,1.7895944300009916,1.831285511275043,1.8271549537685061
physics.app-ph,1.3135735038344998,1.2239278264994782,1.3622986207582564,1.2171545080250255,1.2529817345040646,1.3874045826408816,1.3549411261788558
physics.atm-clus,1.4529350425348564,1.5001124929637324,1.5324413095328684,1.5001122653931103,1.5223004846918964,1.4872312287839626,1.4534586212235432
physics.atom-ph,0.8835003954855914,0.8346661119379097,0.9046559651867784,0.8346636885691682,0.8240271888457728,0.8878777713073851,0.8776730288885959
physics.bio-ph,0.9523652394599333,0.9099903842218549,0.9295564610731033,0.9099900419583964,0.9226834137949387,0.948029535344828,0.9445099837312062
physics.chem-ph,1.1058156012855418,0.8932322096784036,0.8920439780009359,0.8867433748691024,0.9111286487420659,1.127895366635166,1.0979920217251862
physics.class-ph,0.9230927860113479,0.93538142691634,0.9741894313802923,0.9353852494817997,0.9454166942036465,0.9420479777752057,0.917304716416473
physics.comp-ph,1.224410612272273,1.1391418440315164,1.260751926117644,1.290265219460544,1.160177053718768,1.2616067210552755,1.329384092387373
physics.data-an,0.9336725236921237,0.9344950273821252,1.0066036057269394,0.9344933852138424,0.9344957092944152,0.9413828955263183,0.9307614227074029
physics.ed-ph,2.0432301418786865,2.047947001215951,2.05001265490937,2.0479345557760404,2.047946488894282,2.038603176781351,2.0270227796692124
physics.flu-dyn,0.903204449513325,0.8130127733116032,0.9640927289090043,0.8641360609648342,0.8226630985639667,0.9524314294398022,0.9315139850639286
physics.gen-ph,0.7399834688771537,0.7353135837566389,0.7535363556033676,0.7278272921963015,0.7336862037606617,0.7323948537985709,0.7477288290966045
physics.geo-ph,1.5672005483020623,1.4789910348051614,1.521963316175959,1.4789894952499094,1.4786498357772142,1.6281930535968825,1.5604931321924584
physics.hist-ph,1.5319611868984437,1.5081411919578211,1.5409066874264585,1.5202575088420787,1.5110849398244675,1.5741066983729606,1.5324858216802395
physics.ins-det,0.9411716353214155,0.9170977312569041,0.8785683914450366,0.8835002184745028,0.9154583108911695,0.9068620644900024,0.9419428796968047
physics.med-ph,1.6812796197799043,1.5487112460407608,1.6926258101459772,1.6126503368177785,1.5587116942992383,1.739217224031125,1.7043308485211601
physics.optics,0.7810089907844137,0.6632401473670213,0.74911978336773,0.7625880522714796,0.7064903128612935,0.814161192842679,0.7784710738199518
physics.plasm-ph,1.0354167514667347,1.0043417846178089,1.0703272957358083,1.0043414148932976,1.031232673435333,1.0618916782939773,1.0263714538485889
physics.pop-ph,2.2723624467570254,2.3121549792864773,2.4103025670806693,2.3124279061968775,2.3307000199409513,2.2957493283639896,2.251253595331239
physics.soc-ph,0.735832057820343,0.6904614166939721,0.7310884724578577,0.6904620591726801,0.7014775500034223,0.746420706085721,0.7495434497852999
physics.space-ph,1.5887438554922864,1.540854972585117,1.6066388114960168,1.5408540890654616,1.5387749471344687,1.6116500849607511,1.588946166829329
q-bio.BM,1.650316933278764,1.438493320122335,1.5225662727840437,1.4954945945526366,1.4346702174524846,1.7330590768651484,1.6255227680714857
q-bio.CB,2.2043390448893176,2.274854913288953,2.316865018128633,2.273028023521883,2.278473690730908,2.229808887825012,2.2351783689130094
q-bio.GN,2.0031455761768573,2.0466332630022563,2.074308170332337,2.019750315632956,2.120253929060997,2.149793215141278,1.928277037490384
q-bio.MN,1.4251167461959575,1.413850618086507,1.413489698651234,1.4138522006531609,1.4138505998319457,1.4293536399691569,1.4223339411611455
q-bio.NC,1.5774671262862574,1.4527110105145782,1.4590000720816432,1.4205141128563614,1.4511895711233442,1.6043461672802501,1.591969695993113
q-bio.OT,3.137431006343162,3.1774658853470092,3.192580408806138,3.177477841271562,3.1748656687196655,3.153169752388998,3.1363896898062107
q-bio.PE,0.950891317838923,0.9796256396613973,0.9923305602998869,1.0031727753490571,1.0064630965369472,1.00117880882414,1.0469711872212095
q-bio.QM,1.5486105438773803,1.3930654022310385,1.4816436607956083,1.4955997525163842,1.4189380761461026,1.5865614272013615,1.535265367242557
q-bio.SC,1.538508255011127,1.5449225245906675,1.5803974749399166,1.5449283295315843,1.553958956565206,1.5618180427383506,1.5312111743696217
q-bio.TO,2.8909227172678227,2.8919191106506745,2.942647239207949,2.8919253581573248,2.8919265707529203,2.960723926333672,2.8977842926025605
q-fin.CP,2.9976788966460144,2.9646628877041925,2.9721498141142826,2.9545915623937162,2.98296401895652,3.1160948810008304,2.8806864928852263
q-fin.EC,2.504997964032045,2.453952723292751,2.4355694338313287,2.3913803201015273,2.442879549141676,2.404869425929126,2.4708194499938223
q-fin.GN,1.7354422452957723,1.7576222030421544,1.7806559937765556,1.780759051320171,1.7760396756944732,1.7983338197444725,1.7476666115553696
q-fin.MF,2.5460586233794213,2.5673656123103004,2.5305684111082805,2.5622614493764964,2.553439332959969,2.5701092143526227,2.5409247955716623
q-fin.PM,2.571458148238325,2.550393316974009,2.628563503267077,2.550395771109356,2.600367376237006,2.5751238964185843,2.5564068982317996
q-fin.PR,1.8882296001415895,1.8774908021973225,1.9568760281038138,1.8684777142092022,1.8726922672122737,1.868013648637664,1.8818447807335597
q-fin.RM,2.3352590058338456,2.232797411207304,2.2791022602793922,2.2327906609640813,2.248780453678089,2.3735324111514617,2.275646259218734
q-fin.ST,1.7779228450393079,1.8243117236878459,1.910542127396886,1.8504203810044515,1.8619769834416489,1.9446443331454353,1.7680230428226857
q-fin.TR,3.021215413592777,3.108195760696041,3.131009827933611,3.0292069043222987,3.1065539606433767,2.94045133448665,3.1190076911847773
quant-ph,0.6207890366169566,0.503956822268499,0.5683037399388906,0.5668190282328759,0.517746052476955,0.642116125302382,0.6192004375313223
stat.AP,1.0019262434832157,0.9631611963180025,0.9665070347570813,0.9835478194806011,0.9568365948267751,1.0163500338950167,1.0167663961223756
stat.CO,1.3501806612737228,1.3183943397500582,1.3990408783851642,1.3512819533976361,1.3314495733885743,1.421505243353434,1.343906997107864
stat.ME,1.2743536701390332,0.997008846526725,1.07556667776725,1.080139652464653,1.0077574393372735,1.282308062503399,1.2593978746571473
stat.ML,1.0409514498176209,0.7756554592486382,0.8554638805053137,0.8158397242072163,0.7257432947723433,1.1351492404051924,1.4482988233403546
stat.OT,3.075093350363515,3.0844616854910383,3.3640109028491394,3.084466504368605,3.097375259619588,3.1091073359159354,3.0995857700182348
stat.TH,0.9144571119781035,0.8626086004681683,0.9258826012202362,0.9069903329114128,0.8722941482195034,0.9125465502266665,0.914388784626411
