,dummy,t_reg,day_reg,mday_reg,tday_reg,gbrt,prophet,prophet_full
nlin.CG,2.133588814193609,2.284614353636957,2.106211343463301,2.165905999316796,2.256648362800632,1.4371684050588207,1.1583953455753573,2.1570673832003893
nlin.PS,0.9535755393963906,0.9568071773238629,0.9702171143277581,0.9871411261229076,0.9709830081470425,1.418528744047246,1.326005926347019,0.9316253742451074
nlin.SI,1.0795416847010448,1.081819324141025,1.0755173935512556,1.1674971483305407,1.081971169205005,1.171633346363274,1.3085466526896135,1.0487410667634467
nucl-ex,0.6173567228350254,0.6229471058167076,0.5833255985107625,0.5986436462021109,0.5888340335574014,1.2095395101465893,1.2397560534871808,0.5815907744701455
nucl-th,0.5262672662648147,0.5215472054617099,0.45537276942028587,0.47096455528250575,0.45066406002756665,1.2330649363765975,1.1894512032530253,0.4587355397685352
physics.acc-ph,1.2526509355533444,1.249640106576912,1.17586395118447,1.2068800127479373,1.1725413740554766,1.698644874350111,1.7037850341185448,1.1978854170143165
physics.ao-ph,1.8892312735858,2.052034813743351,1.818501266049554,1.7539198033775125,1.9809008638467038,2.7908207897533313,2.2159850390430296,1.7659025452971997
physics.app-ph,1.3135735038344998,1.3002982346652414,1.2239278264994782,1.298165138480836,1.209192888017747,3.244594127087999,3.2342975118626507,1.2887473122194768
physics.atm-clus,1.4529350425348564,1.4421441323933766,1.5001124929637324,1.4862520895643174,1.486752206872389,1.3912993204143063,0.9980980524750888,1.433986429339177
physics.atom-ph,0.8835003954855914,0.879138496842788,0.8346661119379097,0.8999245199586007,0.8301360232554568,1.6474517490919813,1.5302735330464392,0.8234233980795824
physics.bio-ph,0.9523652394599333,0.9595102414428675,0.9099903842218546,0.9009011566084196,0.9160069919001986,1.6681011896033895,1.7142009185230016,0.9130785462447907
physics.chem-ph,1.1058156012855418,1.1521448101157035,0.8932322096784036,0.8739134153765928,0.9389641379749284,2.2340552337725703,1.8293203599352998,1.0075328337894949
physics.class-ph,0.9230927860113479,0.9190728645076481,0.93538142691634,0.9393314934794811,0.9304423511327339,1.359422384921261,1.1913392447335267,0.8990894853889848
physics.comp-ph,1.2255868765118314,1.285830218538007,1.1387448420054522,1.3222915612597406,1.2053754322479473,2.641123485784267,2.8323120560869812,1.2644517931417334
physics.data-an,0.9271702281355237,0.9303416363407259,0.9279622276934328,0.9744968068344907,0.9315243083156783,1.7352296587911782,1.6018273147707294,0.8988338368235951
physics.ed-ph,2.043955259566073,2.0559288867373597,2.0525627675662386,2.1003567632240596,2.06525232609327,2.0864227419963277,2.283911556962197,2.024316497071384
physics.flu-dyn,0.9060860570042978,0.8875114734660359,0.8161617085166923,0.9440871024199727,0.7935882433179801,2.3756162433687633,2.434857921190789,0.8888001499805712
physics.gen-ph,0.74005771967676,0.7569983914945836,0.7353873659745557,0.7999295685647653,0.753647476301985,0.8127472241036967,0.8610247608633086,0.7194456983917911
physics.geo-ph,1.5672005483020623,1.56866834893786,1.4789910348051614,1.495827526142679,1.482189232525477,2.5983914697771815,2.1341146578336554,1.518428050628892
physics.hist-ph,1.5319611868984437,1.5813806642322608,1.5081411919578207,1.519500030899106,1.561612698474772,1.8302688509726377,1.8300235777510876,1.47660524917472
physics.ins-det,0.9411716353214155,0.9784398965343668,0.9170977312569041,0.9457786818577762,0.9583091614049123,2.0319911549279595,1.9447528570241261,0.9234153933974215
physics.med-ph,1.6726030978108108,1.7418479350928107,1.533551785583279,1.5788292921855054,1.6120202364729002,3.4943393067051107,3.7434287380436646,1.624832484947068
physics.optics,0.7810247933255541,0.8054164673042568,0.663253567032913,0.8336018897652641,0.6849851266173953,2.526760354421849,2.4561859515155744,0.6709148319322399
